[2025-05-18T14:26:36.570+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:04:17.620684+00:00 [queued]>
[2025-05-18T14:26:36.584+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:04:17.620684+00:00 [queued]>
[2025-05-18T14:26:36.585+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-18T14:26:36.606+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-18 14:04:17.620684+00:00
[2025-05-18T14:26:36.612+0000] {standard_task_runner.py:60} INFO - Started process 198 to run task
[2025-05-18T14:26:36.618+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-18T14:04:17.620684+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmp2_2srlg4']
[2025-05-18T14:26:36.621+0000] {standard_task_runner.py:88} INFO - Job 6: Subtask transform_data
[2025-05-18T14:26:36.645+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-18T14:26:36.872+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:04:17.620684+00:00 [running]> on host 94eccf45184c
[2025-05-18T14:26:37.279+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-18T14:04:17.620684+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-18T14:04:17.620684+00:00'
[2025-05-18T14:26:37.282+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-18T14:26:37.460+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-18T14:26:37.471+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-18T14:26:37.476+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-18T14:26:37.482+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-18T14:26:37.487+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-18T14:26:37.492+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-18T14:26:37.498+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-18T14:26:37.504+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-18T14:26:37.508+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-18T14:26:37.515+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-18T14:26:37.520+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-18T14:26:37.524+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-18T14:26:37.531+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-18T14:26:37.536+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-18T14:26:37.540+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-18T14:26:37.545+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-18T14:26:37.551+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-18T14:26:37.556+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-18T14:26:37.560+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-18T14:26:37.566+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-18T14:26:37.572+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-18T14:26:37.576+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-18T14:26:37.582+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-18T14:26:37.586+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-18T14:26:37.590+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-18T14:26:37.594+0000] {transform.py:24} INFO - Batch 25 loaded!
