[2025-05-18T14:26:35.469+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:26:20.985562+00:00 [queued]>
[2025-05-18T14:26:35.478+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:26:20.985562+00:00 [queued]>
[2025-05-18T14:26:35.479+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-18T14:26:35.496+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-18 14:26:20.985562+00:00
[2025-05-18T14:26:35.502+0000] {standard_task_runner.py:60} INFO - Started process 187 to run task
[2025-05-18T14:26:35.506+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-18T14:26:20.985562+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmpdou1dwms']
[2025-05-18T14:26:35.508+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask transform_data
[2025-05-18T14:26:35.525+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-18T14:26:35.569+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T14:26:20.985562+00:00 [running]> on host 94eccf45184c
[2025-05-18T14:26:35.802+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-18T14:26:20.985562+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-18T14:26:20.985562+00:00'
[2025-05-18T14:26:35.804+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-18T14:26:35.938+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-18T14:26:35.985+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-18T14:26:35.988+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-18T14:26:35.992+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-18T14:26:35.995+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-18T14:26:36.000+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-18T14:26:36.003+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-18T14:26:36.007+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-18T14:26:36.010+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-18T14:26:36.015+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-18T14:26:36.019+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-18T14:26:36.022+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-18T14:26:36.025+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-18T14:26:36.029+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-18T14:26:36.034+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-18T14:26:36.038+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-18T14:26:36.042+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-18T14:26:36.046+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-18T14:26:36.052+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-18T14:26:36.055+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-18T14:26:36.059+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-18T14:26:36.066+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-18T14:26:36.070+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-18T14:26:36.074+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-18T14:26:36.078+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-18T14:26:36.083+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-18T14:26:36.087+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-18T14:26:36.091+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-18T14:26:36.094+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-18T14:26:36.100+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-18T14:26:36.103+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-18T14:26:36.107+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-18T14:26:36.111+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-18T14:26:36.117+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-18T14:26:36.121+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-18T14:26:36.125+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-18T14:26:36.128+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-18T14:26:36.134+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-18T14:26:36.138+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-18T14:26:36.142+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-18T14:26:36.145+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-18T14:26:36.151+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-18T14:26:36.154+0000] {transform.py:24} INFO - Batch 42 loaded!
[2025-05-18T14:26:36.160+0000] {transform.py:24} INFO - Batch 43 loaded!
[2025-05-18T14:26:36.165+0000] {transform.py:24} INFO - Batch 44 loaded!
[2025-05-18T14:26:36.169+0000] {transform.py:24} INFO - Batch 45 loaded!
[2025-05-18T14:26:36.173+0000] {transform.py:24} INFO - Batch 46 loaded!
[2025-05-18T14:26:36.176+0000] {transform.py:24} INFO - Batch 47 loaded!
[2025-05-18T14:26:36.182+0000] {transform.py:24} INFO - Batch 48 loaded!
[2025-05-18T14:26:36.186+0000] {transform.py:24} INFO - Batch 49 loaded!
[2025-05-18T14:26:36.189+0000] {transform.py:24} INFO - Batch 50 loaded!
[2025-05-18T14:26:36.193+0000] {transform.py:24} INFO - Batch 51 loaded!
[2025-05-18T14:26:36.198+0000] {transform.py:24} INFO - Batch 52 loaded!
[2025-05-18T14:26:36.202+0000] {transform.py:24} INFO - Batch 53 loaded!
[2025-05-18T14:26:36.206+0000] {transform.py:24} INFO - Batch 54 loaded!
[2025-05-18T14:26:36.210+0000] {transform.py:24} INFO - Batch 55 loaded!
[2025-05-18T14:26:36.215+0000] {transform.py:24} INFO - Batch 56 loaded!
[2025-05-18T14:26:36.219+0000] {transform.py:24} INFO - Batch 57 loaded!
[2025-05-18T14:26:36.223+0000] {transform.py:24} INFO - Batch 58 loaded!
[2025-05-18T14:26:36.226+0000] {transform.py:24} INFO - Batch 59 loaded!
[2025-05-18T14:26:36.234+0000] {transform.py:24} INFO - Batch 60 loaded!
[2025-05-18T14:26:36.238+0000] {transform.py:24} INFO - Batch 61 loaded!
[2025-05-18T14:26:36.242+0000] {transform.py:24} INFO - Batch 62 loaded!
[2025-05-18T14:26:36.246+0000] {transform.py:24} INFO - Batch 63 loaded!
[2025-05-18T14:26:36.251+0000] {transform.py:24} INFO - Batch 64 loaded!
[2025-05-18T14:26:36.255+0000] {transform.py:24} INFO - Batch 65 loaded!
[2025-05-18T14:26:36.259+0000] {transform.py:24} INFO - Batch 66 loaded!
[2025-05-18T14:26:36.264+0000] {transform.py:24} INFO - Batch 67 loaded!
[2025-05-18T14:26:36.269+0000] {transform.py:24} INFO - Batch 68 loaded!
[2025-05-18T14:26:36.272+0000] {transform.py:24} INFO - Batch 69 loaded!
[2025-05-18T14:26:36.276+0000] {transform.py:24} INFO - Batch 70 loaded!
[2025-05-18T14:26:36.281+0000] {transform.py:24} INFO - Batch 71 loaded!
[2025-05-18T14:26:36.285+0000] {transform.py:24} INFO - Batch 72 loaded!
[2025-05-18T14:26:36.288+0000] {transform.py:24} INFO - Batch 73 loaded!
[2025-05-18T14:26:36.293+0000] {transform.py:24} INFO - Batch 74 loaded!
[2025-05-18T14:26:36.298+0000] {transform.py:24} INFO - Batch 75 loaded!
[2025-05-18T14:26:36.302+0000] {transform.py:24} INFO - Batch 76 loaded!
[2025-05-18T14:26:36.306+0000] {transform.py:24} INFO - Batch 77 loaded!
[2025-05-18T14:26:36.310+0000] {transform.py:24} INFO - Batch 78 loaded!
[2025-05-18T14:26:36.317+0000] {transform.py:24} INFO - Batch 79 loaded!
[2025-05-18T14:26:36.321+0000] {transform.py:24} INFO - Batch 80 loaded!
[2025-05-18T14:26:36.325+0000] {transform.py:24} INFO - Batch 81 loaded!
[2025-05-18T14:26:36.331+0000] {transform.py:24} INFO - Batch 82 loaded!
[2025-05-18T14:26:36.335+0000] {transform.py:24} INFO - Batch 83 loaded!
[2025-05-18T14:26:36.339+0000] {transform.py:24} INFO - Batch 84 loaded!
[2025-05-18T14:26:36.342+0000] {transform.py:24} INFO - Batch 85 loaded!
[2025-05-18T14:26:36.347+0000] {transform.py:24} INFO - Batch 86 loaded!
[2025-05-18T14:26:36.351+0000] {transform.py:24} INFO - Batch 87 loaded!
[2025-05-18T14:26:36.355+0000] {transform.py:24} INFO - Batch 88 loaded!
[2025-05-18T14:26:36.358+0000] {transform.py:24} INFO - Batch 89 loaded!
[2025-05-18T14:26:36.362+0000] {transform.py:24} INFO - Batch 90 loaded!
[2025-05-18T14:26:36.367+0000] {transform.py:24} INFO - Batch 91 loaded!
[2025-05-18T14:26:36.371+0000] {transform.py:24} INFO - Batch 92 loaded!
[2025-05-18T14:26:36.375+0000] {transform.py:24} INFO - Batch 93 loaded!
[2025-05-18T14:26:36.379+0000] {transform.py:24} INFO - Batch 94 loaded!
[2025-05-18T14:26:36.384+0000] {transform.py:24} INFO - Batch 95 loaded!
[2025-05-18T14:26:36.388+0000] {transform.py:24} INFO - Batch 96 loaded!
[2025-05-18T14:26:36.392+0000] {transform.py:24} INFO - Batch 97 loaded!
[2025-05-18T14:26:36.399+0000] {transform.py:24} INFO - Batch 98 loaded!
[2025-05-18T14:26:36.403+0000] {transform.py:24} INFO - Batch 99 loaded!
[2025-05-18T14:26:36.407+0000] {transform.py:24} INFO - Batch 100 loaded!
[2025-05-18T14:26:36.410+0000] {transform.py:24} INFO - Batch 101 loaded!
[2025-05-18T14:26:36.416+0000] {transform.py:24} INFO - Batch 102 loaded!
[2025-05-18T14:26:36.420+0000] {transform.py:24} INFO - Batch 103 loaded!
[2025-05-18T14:26:36.424+0000] {transform.py:24} INFO - Batch 104 loaded!
[2025-05-18T14:26:36.427+0000] {transform.py:24} INFO - Batch 105 loaded!
[2025-05-18T14:26:36.434+0000] {transform.py:24} INFO - Batch 106 loaded!
[2025-05-18T14:26:36.438+0000] {transform.py:24} INFO - Batch 107 loaded!
[2025-05-18T14:26:36.443+0000] {transform.py:24} INFO - Batch 108 loaded!
[2025-05-18T14:26:36.449+0000] {transform.py:24} INFO - Batch 109 loaded!
[2025-05-18T14:26:36.454+0000] {transform.py:24} INFO - Batch 110 loaded!
[2025-05-18T14:26:36.458+0000] {transform.py:24} INFO - Batch 111 loaded!
[2025-05-18T14:26:36.462+0000] {transform.py:24} INFO - Batch 112 loaded!
[2025-05-18T14:26:36.468+0000] {transform.py:24} INFO - Batch 113 loaded!
[2025-05-18T14:26:36.471+0000] {transform.py:24} INFO - Batch 114 loaded!
[2025-05-18T14:26:36.475+0000] {transform.py:24} INFO - Batch 115 loaded!
[2025-05-18T14:26:36.483+0000] {transform.py:24} INFO - Batch 116 loaded!
[2025-05-18T14:26:36.488+0000] {transform.py:24} INFO - Batch 117 loaded!
[2025-05-18T14:26:36.493+0000] {transform.py:24} INFO - Batch 118 loaded!
[2025-05-18T14:26:36.499+0000] {transform.py:24} INFO - Batch 119 loaded!
[2025-05-18T14:26:36.503+0000] {transform.py:24} INFO - Batch 120 loaded!
[2025-05-18T14:26:36.508+0000] {transform.py:24} INFO - Batch 121 loaded!
[2025-05-18T14:26:36.512+0000] {transform.py:24} INFO - Batch 122 loaded!
[2025-05-18T14:26:36.517+0000] {transform.py:24} INFO - Batch 123 loaded!
[2025-05-18T14:26:36.521+0000] {transform.py:24} INFO - Batch 124 loaded!
[2025-05-18T14:26:36.524+0000] {transform.py:24} INFO - Batch 125 loaded!
[2025-05-18T14:26:36.528+0000] {transform.py:24} INFO - Batch 126 loaded!
[2025-05-18T14:26:36.533+0000] {transform.py:24} INFO - Batch 127 loaded!
[2025-05-18T14:26:36.536+0000] {transform.py:24} INFO - Batch 128 loaded!
[2025-05-18T14:26:36.539+0000] {transform.py:24} INFO - Batch 129 loaded!
[2025-05-18T14:26:36.543+0000] {transform.py:24} INFO - Batch 130 loaded!
[2025-05-18T14:26:36.548+0000] {transform.py:24} INFO - Batch 131 loaded!
[2025-05-18T14:26:36.551+0000] {transform.py:24} INFO - Batch 132 loaded!
[2025-05-18T14:26:36.555+0000] {transform.py:24} INFO - Batch 133 loaded!
[2025-05-18T14:26:36.558+0000] {transform.py:24} INFO - Batch 134 loaded!
[2025-05-18T14:26:36.562+0000] {transform.py:24} INFO - Batch 135 loaded!
[2025-05-18T14:26:36.568+0000] {transform.py:24} INFO - Batch 136 loaded!
[2025-05-18T14:26:36.571+0000] {transform.py:24} INFO - Batch 137 loaded!
[2025-05-18T14:26:36.576+0000] {transform.py:24} INFO - Batch 138 loaded!
[2025-05-18T14:26:36.580+0000] {transform.py:24} INFO - Batch 139 loaded!
[2025-05-18T14:26:36.584+0000] {transform.py:24} INFO - Batch 140 loaded!
[2025-05-18T14:26:36.588+0000] {transform.py:24} INFO - Batch 141 loaded!
[2025-05-18T14:26:36.591+0000] {transform.py:24} INFO - Batch 142 loaded!
[2025-05-18T14:26:36.596+0000] {transform.py:24} INFO - Batch 143 loaded!
[2025-05-18T14:26:36.601+0000] {transform.py:24} INFO - Batch 144 loaded!
[2025-05-18T14:26:36.605+0000] {transform.py:24} INFO - Batch 145 loaded!
[2025-05-18T14:26:36.609+0000] {transform.py:24} INFO - Batch 146 loaded!
[2025-05-18T14:26:36.616+0000] {transform.py:24} INFO - Batch 147 loaded!
[2025-05-18T14:26:36.621+0000] {transform.py:24} INFO - Batch 148 loaded!
[2025-05-18T14:26:36.626+0000] {transform.py:24} INFO - Batch 149 loaded!
[2025-05-18T14:26:36.632+0000] {transform.py:24} INFO - Batch 150 loaded!
[2025-05-18T14:26:36.638+0000] {transform.py:24} INFO - Batch 151 loaded!
[2025-05-18T14:26:36.642+0000] {transform.py:24} INFO - Batch 152 loaded!
[2025-05-18T14:26:36.648+0000] {transform.py:24} INFO - Batch 153 loaded!
[2025-05-18T14:26:36.653+0000] {transform.py:24} INFO - Batch 154 loaded!
