[2025-05-18T15:05:14.022+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:05:05.522562+00:00 [queued]>
[2025-05-18T15:05:14.036+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:05:05.522562+00:00 [queued]>
[2025-05-18T15:05:14.037+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-18T15:05:14.063+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-18 15:05:05.522562+00:00
[2025-05-18T15:05:14.068+0000] {standard_task_runner.py:60} INFO - Started process 196 to run task
[2025-05-18T15:05:14.071+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-18T15:05:05.522562+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmpiuctflkj']
[2025-05-18T15:05:14.075+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask transform_data
[2025-05-18T15:05:14.092+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-18T15:05:14.132+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:05:05.522562+00:00 [running]> on host 208ffd3de735
[2025-05-18T15:05:14.392+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-18T15:05:05.522562+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-18T15:05:05.522562+00:00'
[2025-05-18T15:05:14.394+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-18T15:05:14.733+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-18T15:05:14.750+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-18T15:05:14.754+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-18T15:05:14.757+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-18T15:05:14.761+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-18T15:05:14.765+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-18T15:05:14.768+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-18T15:05:14.772+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-18T15:05:14.776+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-18T15:05:14.779+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-18T15:05:14.783+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-18T15:05:14.786+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-18T15:05:14.790+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-18T15:05:14.793+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-18T15:05:14.797+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-18T15:05:14.800+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-18T15:05:14.804+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-18T15:05:14.808+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-18T15:05:14.811+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-18T15:05:14.814+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-18T15:05:14.818+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-18T15:05:14.822+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-18T15:05:14.825+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-18T15:05:14.829+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-18T15:05:14.832+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-18T15:05:14.836+0000] {transform.py:24} INFO - Batch 25 loaded!
