[2025-05-18T15:27:31.009+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:27:27.730189+00:00 [queued]>
[2025-05-18T15:27:31.020+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:27:27.730189+00:00 [queued]>
[2025-05-18T15:27:31.021+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-18T15:27:31.040+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-18 15:27:27.730189+00:00
[2025-05-18T15:27:31.046+0000] {standard_task_runner.py:60} INFO - Started process 178 to run task
[2025-05-18T15:27:31.050+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-18T15:27:27.730189+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmp2kk16w5l']
[2025-05-18T15:27:31.053+0000] {standard_task_runner.py:88} INFO - Job 29: Subtask transform_data
[2025-05-18T15:27:31.075+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-18T15:27:31.121+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-18T15:27:27.730189+00:00 [running]> on host dddc1a061460
[2025-05-18T15:27:31.392+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-18T15:27:27.730189+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-18T15:27:27.730189+00:00'
[2025-05-18T15:27:31.394+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-18T15:27:31.771+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-18T15:27:31.792+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-18T15:27:31.796+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-18T15:27:31.799+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-18T15:27:31.802+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-18T15:27:31.805+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-18T15:27:31.809+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-18T15:27:31.811+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-18T15:27:31.814+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-18T15:27:31.818+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-18T15:27:31.821+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-18T15:27:31.824+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-18T15:27:31.828+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-18T15:27:31.831+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-18T15:27:31.835+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-18T15:27:31.838+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-18T15:27:31.841+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-18T15:27:31.844+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-18T15:27:31.848+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-18T15:27:31.851+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-18T15:27:31.855+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-18T15:27:31.858+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-18T15:27:31.861+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-18T15:27:31.865+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-18T15:27:31.869+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-18T15:27:31.872+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-18T15:27:31.876+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-18T15:27:31.879+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-18T15:27:31.883+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-18T15:27:31.888+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-18T15:27:31.892+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-18T15:27:31.895+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-18T15:27:31.900+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-18T15:27:31.903+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-18T15:27:31.907+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-18T15:27:31.910+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-18T15:27:31.913+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-18T15:27:31.917+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-18T15:27:31.920+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-18T15:27:31.923+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-18T15:27:31.926+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-18T15:27:31.929+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-18T15:27:31.934+0000] {transform.py:24} INFO - Batch 42 loaded!
[2025-05-18T15:27:31.938+0000] {transform.py:24} INFO - Batch 43 loaded!
[2025-05-18T15:27:31.941+0000] {transform.py:24} INFO - Batch 44 loaded!
[2025-05-18T15:27:31.944+0000] {transform.py:24} INFO - Batch 45 loaded!
[2025-05-18T15:27:31.948+0000] {transform.py:24} INFO - Batch 46 loaded!
[2025-05-18T15:27:31.951+0000] {transform.py:24} INFO - Batch 47 loaded!
[2025-05-18T15:27:31.954+0000] {transform.py:24} INFO - Batch 48 loaded!
[2025-05-18T15:27:31.957+0000] {transform.py:24} INFO - Batch 49 loaded!
[2025-05-18T15:27:31.960+0000] {transform.py:24} INFO - Batch 50 loaded!
[2025-05-18T15:27:31.963+0000] {transform.py:24} INFO - Batch 51 loaded!
[2025-05-18T15:27:31.966+0000] {transform.py:24} INFO - Batch 52 loaded!
[2025-05-18T15:27:31.968+0000] {transform.py:24} INFO - Batch 53 loaded!
[2025-05-18T15:27:31.971+0000] {transform.py:24} INFO - Batch 54 loaded!
[2025-05-18T15:27:31.974+0000] {transform.py:24} INFO - Batch 55 loaded!
[2025-05-18T15:27:31.977+0000] {transform.py:24} INFO - Batch 56 loaded!
[2025-05-18T15:27:31.980+0000] {transform.py:24} INFO - Batch 57 loaded!
[2025-05-18T15:27:31.983+0000] {transform.py:24} INFO - Batch 58 loaded!
[2025-05-18T15:27:31.987+0000] {transform.py:24} INFO - Batch 59 loaded!
[2025-05-18T15:27:31.990+0000] {transform.py:24} INFO - Batch 60 loaded!
[2025-05-18T15:27:31.994+0000] {transform.py:24} INFO - Batch 61 loaded!
[2025-05-18T15:27:31.997+0000] {transform.py:24} INFO - Batch 62 loaded!
[2025-05-18T15:27:32.000+0000] {transform.py:24} INFO - Batch 63 loaded!
[2025-05-18T15:27:32.003+0000] {transform.py:24} INFO - Batch 64 loaded!
[2025-05-18T15:27:32.007+0000] {transform.py:24} INFO - Batch 65 loaded!
[2025-05-18T15:27:32.010+0000] {transform.py:24} INFO - Batch 66 loaded!
[2025-05-18T15:27:32.014+0000] {transform.py:24} INFO - Batch 67 loaded!
[2025-05-18T15:27:32.018+0000] {transform.py:24} INFO - Batch 68 loaded!
[2025-05-18T15:27:32.021+0000] {transform.py:24} INFO - Batch 69 loaded!
[2025-05-18T15:27:32.024+0000] {transform.py:24} INFO - Batch 70 loaded!
[2025-05-18T15:27:32.028+0000] {transform.py:24} INFO - Batch 71 loaded!
[2025-05-18T15:27:32.032+0000] {transform.py:24} INFO - Batch 72 loaded!
[2025-05-18T15:27:32.035+0000] {transform.py:24} INFO - Batch 73 loaded!
