[2025-05-19T08:44:02.863+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T08:43:58.742681+00:00 [queued]>
[2025-05-19T08:44:02.881+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T08:43:58.742681+00:00 [queued]>
[2025-05-19T08:44:02.883+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T08:44:02.908+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 08:43:58.742681+00:00
[2025-05-19T08:44:02.917+0000] {standard_task_runner.py:60} INFO - Started process 184 to run task
[2025-05-19T08:44:02.920+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T08:43:58.742681+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmpdmd9109b']
[2025-05-19T08:44:02.929+0000] {standard_task_runner.py:88} INFO - Job 34: Subtask transform_data
[2025-05-19T08:44:02.960+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T08:44:03.014+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T08:43:58.742681+00:00 [running]> on host dc3ebaf2dadb
[2025-05-19T08:44:03.354+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T08:43:58.742681+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T08:43:58.742681+00:00'
[2025-05-19T08:44:03.356+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T08:44:03.996+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T08:44:04.025+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T08:44:04.028+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T08:44:04.031+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T08:44:04.035+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T08:44:04.039+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T08:44:04.043+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T08:44:04.046+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T08:44:04.049+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T08:44:04.053+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T08:44:04.057+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T08:44:04.060+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T08:44:04.063+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T08:44:04.067+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T08:44:04.070+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T08:44:04.075+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T08:44:04.078+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T08:44:04.081+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T08:44:04.085+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T08:44:04.088+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T08:44:04.092+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T08:44:04.095+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T08:44:04.098+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T08:44:04.102+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T08:44:04.105+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T08:44:04.109+0000] {transform.py:24} INFO - Batch 25 loaded!
