[2025-05-19T09:29:44.790+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:29:40.855638+00:00 [queued]>
[2025-05-19T09:29:44.799+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:29:40.855638+00:00 [queued]>
[2025-05-19T09:29:44.801+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T09:29:44.815+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 09:29:40.855638+00:00
[2025-05-19T09:29:44.819+0000] {standard_task_runner.py:60} INFO - Started process 185 to run task
[2025-05-19T09:29:44.823+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T09:29:40.855638+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmp1j6u84gn']
[2025-05-19T09:29:44.827+0000] {standard_task_runner.py:88} INFO - Job 39: Subtask transform_data
[2025-05-19T09:29:44.847+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T09:29:44.890+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:29:40.855638+00:00 [running]> on host 02ed670443a2
[2025-05-19T09:29:45.149+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T09:29:40.855638+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T09:29:40.855638+00:00'
[2025-05-19T09:29:45.151+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T09:29:45.808+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T09:29:45.838+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T09:29:45.842+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T09:29:45.847+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T09:29:45.851+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T09:29:45.858+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T09:29:45.861+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T09:29:45.865+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T09:29:45.868+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T09:29:45.873+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T09:29:45.877+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T09:29:45.880+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T09:29:45.884+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T09:29:45.888+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T09:29:45.891+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T09:29:45.894+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T09:29:45.898+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T09:29:45.903+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T09:29:45.907+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T09:29:45.910+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T09:29:45.914+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T09:29:45.917+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T09:29:45.922+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T09:29:45.926+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T09:29:45.930+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T09:29:45.933+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-19T09:29:45.939+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-19T09:29:45.942+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-19T09:29:45.947+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-19T09:29:45.951+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-19T09:29:45.956+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-19T09:29:45.961+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-19T09:29:45.965+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-19T09:29:45.971+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-19T09:29:45.975+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-19T09:29:45.978+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-19T09:29:45.982+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-19T09:29:45.986+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-19T09:29:45.990+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-19T09:29:45.993+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-19T09:29:45.997+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-19T09:29:46.000+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-19T09:29:46.005+0000] {transform.py:24} INFO - Batch 42 loaded!
[2025-05-19T09:29:46.008+0000] {transform.py:24} INFO - Batch 43 loaded!
[2025-05-19T09:29:46.011+0000] {transform.py:24} INFO - Batch 44 loaded!
[2025-05-19T09:29:46.016+0000] {transform.py:24} INFO - Batch 45 loaded!
[2025-05-19T09:29:46.021+0000] {transform.py:24} INFO - Batch 46 loaded!
[2025-05-19T09:29:46.025+0000] {transform.py:24} INFO - Batch 47 loaded!
[2025-05-19T09:29:46.029+0000] {transform.py:24} INFO - Batch 48 loaded!
[2025-05-19T09:29:46.033+0000] {transform.py:24} INFO - Batch 49 loaded!
[2025-05-19T09:29:46.038+0000] {transform.py:24} INFO - Batch 50 loaded!
[2025-05-19T09:29:46.042+0000] {transform.py:24} INFO - Batch 51 loaded!
[2025-05-19T09:29:46.046+0000] {transform.py:24} INFO - Batch 52 loaded!
[2025-05-19T09:29:46.051+0000] {transform.py:24} INFO - Batch 53 loaded!
[2025-05-19T09:29:46.056+0000] {transform.py:24} INFO - Batch 54 loaded!
[2025-05-19T09:29:46.060+0000] {transform.py:24} INFO - Batch 55 loaded!
[2025-05-19T09:29:46.064+0000] {transform.py:24} INFO - Batch 56 loaded!
[2025-05-19T09:29:46.068+0000] {transform.py:24} INFO - Batch 57 loaded!
[2025-05-19T09:29:46.073+0000] {transform.py:24} INFO - Batch 58 loaded!
[2025-05-19T09:29:46.079+0000] {transform.py:24} INFO - Batch 59 loaded!
[2025-05-19T09:29:46.083+0000] {transform.py:24} INFO - Batch 60 loaded!
[2025-05-19T09:29:46.087+0000] {transform.py:24} INFO - Batch 61 loaded!
[2025-05-19T09:29:46.091+0000] {transform.py:24} INFO - Batch 62 loaded!
[2025-05-19T09:29:46.094+0000] {transform.py:24} INFO - Batch 63 loaded!
[2025-05-19T09:29:46.098+0000] {transform.py:24} INFO - Batch 64 loaded!
[2025-05-19T09:29:46.102+0000] {transform.py:24} INFO - Batch 65 loaded!
[2025-05-19T09:29:46.106+0000] {transform.py:24} INFO - Batch 66 loaded!
[2025-05-19T09:29:46.109+0000] {transform.py:24} INFO - Batch 67 loaded!
[2025-05-19T09:29:46.112+0000] {transform.py:24} INFO - Batch 68 loaded!
[2025-05-19T09:29:46.116+0000] {transform.py:24} INFO - Batch 69 loaded!
[2025-05-19T09:29:46.118+0000] {transform.py:24} INFO - Batch 70 loaded!
[2025-05-19T09:29:46.122+0000] {transform.py:24} INFO - Batch 71 loaded!
[2025-05-19T09:29:46.125+0000] {transform.py:24} INFO - Batch 72 loaded!
[2025-05-19T09:29:46.128+0000] {transform.py:24} INFO - Batch 73 loaded!
[2025-05-19T09:29:46.131+0000] {transform.py:24} INFO - Batch 74 loaded!
[2025-05-19T09:29:46.134+0000] {transform.py:24} INFO - Batch 75 loaded!
[2025-05-19T09:29:46.136+0000] {transform.py:24} INFO - Batch 76 loaded!
[2025-05-19T09:29:46.139+0000] {transform.py:24} INFO - Batch 77 loaded!
[2025-05-19T09:29:46.142+0000] {transform.py:24} INFO - Batch 78 loaded!
[2025-05-19T09:29:46.145+0000] {transform.py:24} INFO - Batch 79 loaded!
[2025-05-19T09:29:46.147+0000] {transform.py:24} INFO - Batch 80 loaded!
