[2025-05-19T09:37:55.944+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:37:46.419219+00:00 [queued]>
[2025-05-19T09:37:55.958+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:37:46.419219+00:00 [queued]>
[2025-05-19T09:37:55.958+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T09:37:55.977+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 09:37:46.419219+00:00
[2025-05-19T09:37:55.982+0000] {standard_task_runner.py:60} INFO - Started process 184 to run task
[2025-05-19T09:37:55.986+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T09:37:46.419219+00:00', '--job-id', '43', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmp8cvyr1wy']
[2025-05-19T09:37:55.990+0000] {standard_task_runner.py:88} INFO - Job 43: Subtask transform_data
[2025-05-19T09:37:56.010+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T09:37:56.058+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:37:46.419219+00:00 [running]> on host abdac7c06155
[2025-05-19T09:37:56.374+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T09:37:46.419219+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T09:37:46.419219+00:00'
[2025-05-19T09:37:56.376+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T09:37:56.734+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T09:37:56.756+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T09:37:56.760+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T09:37:56.763+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T09:37:56.766+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T09:37:56.770+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T09:37:56.773+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T09:37:56.777+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T09:37:56.781+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T09:37:56.784+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T09:37:56.788+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T09:37:56.792+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T09:37:56.796+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T09:37:56.799+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T09:37:56.803+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T09:37:56.807+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T09:37:56.810+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T09:37:56.814+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T09:37:56.820+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T09:37:56.824+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T09:37:56.829+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T09:37:56.832+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T09:37:56.836+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T09:37:56.840+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T09:37:56.843+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T09:37:56.847+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-19T09:37:56.850+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-19T09:37:56.854+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-19T09:37:56.858+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-19T09:37:56.861+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-19T09:37:56.865+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-19T09:37:56.868+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-19T09:37:56.872+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-19T09:37:56.877+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-19T09:37:56.880+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-19T09:37:56.884+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-19T09:37:56.888+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-19T09:37:56.892+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-19T09:37:56.895+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-19T09:37:56.899+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-19T09:37:56.902+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-19T09:37:56.906+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-19T09:37:56.910+0000] {transform.py:24} INFO - Batch 42 loaded!
[2025-05-19T09:37:56.913+0000] {transform.py:24} INFO - Batch 43 loaded!
[2025-05-19T09:37:56.916+0000] {transform.py:24} INFO - Batch 44 loaded!
[2025-05-19T09:37:56.920+0000] {transform.py:24} INFO - Batch 45 loaded!
[2025-05-19T09:37:56.924+0000] {transform.py:24} INFO - Batch 46 loaded!
[2025-05-19T09:37:56.927+0000] {transform.py:24} INFO - Batch 47 loaded!
[2025-05-19T09:37:56.931+0000] {transform.py:24} INFO - Batch 48 loaded!
[2025-05-19T09:37:56.935+0000] {transform.py:24} INFO - Batch 49 loaded!
[2025-05-19T09:37:56.938+0000] {transform.py:24} INFO - Batch 50 loaded!
[2025-05-19T09:37:56.942+0000] {transform.py:24} INFO - Batch 51 loaded!
[2025-05-19T09:37:56.946+0000] {transform.py:24} INFO - Batch 52 loaded!
[2025-05-19T09:37:56.949+0000] {transform.py:24} INFO - Batch 53 loaded!
[2025-05-19T09:37:56.954+0000] {transform.py:24} INFO - Batch 54 loaded!
[2025-05-19T09:37:56.958+0000] {transform.py:24} INFO - Batch 55 loaded!
[2025-05-19T09:37:56.962+0000] {transform.py:24} INFO - Batch 56 loaded!
[2025-05-19T09:37:56.966+0000] {transform.py:24} INFO - Batch 57 loaded!
[2025-05-19T09:37:56.971+0000] {transform.py:24} INFO - Batch 58 loaded!
[2025-05-19T09:37:56.975+0000] {transform.py:24} INFO - Batch 59 loaded!
[2025-05-19T09:37:56.979+0000] {transform.py:24} INFO - Batch 60 loaded!
[2025-05-19T09:37:56.983+0000] {transform.py:24} INFO - Batch 61 loaded!
[2025-05-19T09:37:56.989+0000] {transform.py:24} INFO - Batch 62 loaded!
[2025-05-19T09:37:56.994+0000] {transform.py:24} INFO - Batch 63 loaded!
[2025-05-19T09:37:56.998+0000] {transform.py:24} INFO - Batch 64 loaded!
[2025-05-19T09:37:57.002+0000] {transform.py:24} INFO - Batch 65 loaded!
[2025-05-19T09:37:57.007+0000] {transform.py:24} INFO - Batch 66 loaded!
[2025-05-19T09:37:57.011+0000] {transform.py:24} INFO - Batch 67 loaded!
[2025-05-19T09:37:57.014+0000] {transform.py:24} INFO - Batch 68 loaded!
[2025-05-19T09:37:57.019+0000] {transform.py:24} INFO - Batch 69 loaded!
[2025-05-19T09:37:57.023+0000] {transform.py:24} INFO - Batch 70 loaded!
[2025-05-19T09:37:57.028+0000] {transform.py:24} INFO - Batch 71 loaded!
[2025-05-19T09:37:57.032+0000] {transform.py:24} INFO - Batch 72 loaded!
[2025-05-19T09:37:57.037+0000] {transform.py:24} INFO - Batch 73 loaded!
[2025-05-19T09:37:57.040+0000] {transform.py:24} INFO - Batch 74 loaded!
[2025-05-19T09:37:57.044+0000] {transform.py:24} INFO - Batch 75 loaded!
[2025-05-19T09:37:57.048+0000] {transform.py:24} INFO - Batch 76 loaded!
[2025-05-19T09:37:57.051+0000] {transform.py:24} INFO - Batch 77 loaded!
[2025-05-19T09:37:57.055+0000] {transform.py:24} INFO - Batch 78 loaded!
[2025-05-19T09:37:57.058+0000] {transform.py:24} INFO - Batch 79 loaded!
[2025-05-19T09:37:57.062+0000] {transform.py:24} INFO - Batch 80 loaded!
[2025-05-19T09:37:57.066+0000] {transform.py:24} INFO - Batch 81 loaded!
[2025-05-19T09:37:57.069+0000] {transform.py:24} INFO - Batch 82 loaded!
[2025-05-19T09:37:57.073+0000] {transform.py:24} INFO - Batch 83 loaded!
[2025-05-19T09:37:57.077+0000] {transform.py:24} INFO - Batch 84 loaded!
[2025-05-19T09:37:57.081+0000] {transform.py:24} INFO - Batch 85 loaded!
