[2025-05-19T09:46:18.793+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:46:15.930828+00:00 [queued]>
[2025-05-19T09:46:18.803+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:46:15.930828+00:00 [queued]>
[2025-05-19T09:46:18.804+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T09:46:18.854+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 09:46:15.930828+00:00
[2025-05-19T09:46:18.861+0000] {standard_task_runner.py:60} INFO - Started process 190 to run task
[2025-05-19T09:46:18.866+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T09:46:15.930828+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmp7zjud8ai']
[2025-05-19T09:46:18.869+0000] {standard_task_runner.py:88} INFO - Job 47: Subtask transform_data
[2025-05-19T09:46:18.886+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T09:46:18.927+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:46:15.930828+00:00 [running]> on host bc0f9ffde791
[2025-05-19T09:46:19.175+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T09:46:15.930828+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T09:46:15.930828+00:00'
[2025-05-19T09:46:19.177+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T09:46:19.541+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T09:46:19.563+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T09:46:19.568+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T09:46:19.572+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T09:46:19.576+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T09:46:19.581+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T09:46:19.586+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T09:46:19.590+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T09:46:19.595+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T09:46:19.600+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T09:46:19.604+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T09:46:19.608+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T09:46:19.612+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T09:46:19.615+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T09:46:19.619+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T09:46:19.623+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T09:46:19.626+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T09:46:19.630+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T09:46:19.633+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T09:46:19.637+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T09:46:19.641+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T09:46:19.644+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T09:46:19.649+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T09:46:19.652+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T09:46:19.656+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T09:46:19.660+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-19T09:46:19.667+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-19T09:46:19.671+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-19T09:46:19.674+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-19T09:46:19.677+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-19T09:46:19.680+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-19T09:46:19.684+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-19T09:46:19.687+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-19T09:46:19.691+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-19T09:46:19.694+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-19T09:46:19.699+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-19T09:46:19.702+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-19T09:46:19.705+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-19T09:46:19.709+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-19T09:46:19.712+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-19T09:46:19.716+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-19T09:46:19.719+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-19T09:46:19.722+0000] {transform.py:24} INFO - Batch 42 loaded!
[2025-05-19T09:46:19.725+0000] {transform.py:24} INFO - Batch 43 loaded!
[2025-05-19T09:46:19.728+0000] {transform.py:24} INFO - Batch 44 loaded!
[2025-05-19T09:46:19.732+0000] {transform.py:24} INFO - Batch 45 loaded!
[2025-05-19T09:46:19.737+0000] {transform.py:24} INFO - Batch 46 loaded!
[2025-05-19T09:46:19.740+0000] {transform.py:24} INFO - Batch 47 loaded!
[2025-05-19T09:46:19.743+0000] {transform.py:24} INFO - Batch 48 loaded!
[2025-05-19T09:46:19.746+0000] {transform.py:24} INFO - Batch 49 loaded!
[2025-05-19T09:46:19.750+0000] {transform.py:24} INFO - Batch 50 loaded!
[2025-05-19T09:46:19.753+0000] {transform.py:24} INFO - Batch 51 loaded!
[2025-05-19T09:46:19.756+0000] {transform.py:24} INFO - Batch 52 loaded!
[2025-05-19T09:46:19.759+0000] {transform.py:24} INFO - Batch 53 loaded!
[2025-05-19T09:46:19.762+0000] {transform.py:24} INFO - Batch 54 loaded!
[2025-05-19T09:46:19.766+0000] {transform.py:24} INFO - Batch 55 loaded!
[2025-05-19T09:46:19.769+0000] {transform.py:24} INFO - Batch 56 loaded!
[2025-05-19T09:46:19.772+0000] {transform.py:24} INFO - Batch 57 loaded!
[2025-05-19T09:46:19.776+0000] {transform.py:24} INFO - Batch 58 loaded!
[2025-05-19T09:46:19.779+0000] {transform.py:24} INFO - Batch 59 loaded!
[2025-05-19T09:46:19.783+0000] {transform.py:24} INFO - Batch 60 loaded!
[2025-05-19T09:46:19.786+0000] {transform.py:24} INFO - Batch 61 loaded!
[2025-05-19T09:46:19.789+0000] {transform.py:24} INFO - Batch 62 loaded!
[2025-05-19T09:46:19.792+0000] {transform.py:24} INFO - Batch 63 loaded!
