[2025-05-19T09:51:21.790+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:51:18.048420+00:00 [queued]>
[2025-05-19T09:51:21.810+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:51:18.048420+00:00 [queued]>
[2025-05-19T09:51:21.812+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T09:51:21.844+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 09:51:18.048420+00:00
[2025-05-19T09:51:21.863+0000] {standard_task_runner.py:60} INFO - Started process 178 to run task
[2025-05-19T09:51:21.877+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T09:51:18.048420+00:00', '--job-id', '51', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmpsuhn1lnm']
[2025-05-19T09:51:21.893+0000] {standard_task_runner.py:88} INFO - Job 51: Subtask transform_data
[2025-05-19T09:51:21.999+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T09:51:22.155+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T09:51:18.048420+00:00 [running]> on host 8411883fc7e4
[2025-05-19T09:51:23.334+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T09:51:18.048420+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T09:51:18.048420+00:00'
[2025-05-19T09:51:23.341+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T09:51:24.421+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T09:51:24.456+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T09:51:24.462+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T09:51:24.468+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T09:51:24.473+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T09:51:24.479+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T09:51:24.484+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T09:51:24.489+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T09:51:24.495+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T09:51:24.501+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T09:51:24.505+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T09:51:24.509+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T09:51:24.515+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T09:51:24.519+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T09:51:24.524+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T09:51:24.528+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T09:51:24.533+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T09:51:24.538+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T09:51:24.542+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T09:51:24.547+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T09:51:24.551+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T09:51:24.556+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T09:51:24.560+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T09:51:24.566+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T09:51:24.572+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T09:51:24.578+0000] {transform.py:24} INFO - Batch 25 loaded!
[2025-05-19T09:51:24.584+0000] {transform.py:24} INFO - Batch 26 loaded!
[2025-05-19T09:51:24.588+0000] {transform.py:24} INFO - Batch 27 loaded!
[2025-05-19T09:51:24.594+0000] {transform.py:24} INFO - Batch 28 loaded!
[2025-05-19T09:51:24.600+0000] {transform.py:24} INFO - Batch 29 loaded!
[2025-05-19T09:51:24.605+0000] {transform.py:24} INFO - Batch 30 loaded!
[2025-05-19T09:51:24.610+0000] {transform.py:24} INFO - Batch 31 loaded!
[2025-05-19T09:51:24.617+0000] {transform.py:24} INFO - Batch 32 loaded!
[2025-05-19T09:51:24.622+0000] {transform.py:24} INFO - Batch 33 loaded!
[2025-05-19T09:51:24.630+0000] {transform.py:24} INFO - Batch 34 loaded!
[2025-05-19T09:51:24.635+0000] {transform.py:24} INFO - Batch 35 loaded!
[2025-05-19T09:51:24.639+0000] {transform.py:24} INFO - Batch 36 loaded!
[2025-05-19T09:51:24.644+0000] {transform.py:24} INFO - Batch 37 loaded!
[2025-05-19T09:51:24.649+0000] {transform.py:24} INFO - Batch 38 loaded!
[2025-05-19T09:51:24.654+0000] {transform.py:24} INFO - Batch 39 loaded!
[2025-05-19T09:51:24.659+0000] {transform.py:24} INFO - Batch 40 loaded!
[2025-05-19T09:51:24.665+0000] {transform.py:24} INFO - Batch 41 loaded!
[2025-05-19T09:51:24.670+0000] {transform.py:24} INFO - Batch 42 loaded!
