[2025-05-19T10:03:38.971+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T10:03:35.905098+00:00 [queued]>
[2025-05-19T10:03:38.984+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T10:03:35.905098+00:00 [queued]>
[2025-05-19T10:03:38.985+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-05-19T10:03:39.013+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2025-05-19 10:03:35.905098+00:00
[2025-05-19T10:03:39.019+0000] {standard_task_runner.py:60} INFO - Started process 184 to run task
[2025-05-19T10:03:39.024+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_pipeline', 'transform_data', 'manual__2025-05-19T10:03:35.905098+00:00', '--job-id', '55', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_pipeline.py', '--cfg-path', '/tmp/tmpdwquxlj4']
[2025-05-19T10:03:39.026+0000] {standard_task_runner.py:88} INFO - Job 55: Subtask transform_data
[2025-05-19T10:03:39.044+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-19T10:03:39.082+0000] {task_command.py:423} INFO - Running <TaskInstance: nyc_taxi_pipeline.transform_data manual__2025-05-19T10:03:35.905098+00:00 [running]> on host 6867ff12119b
[2025-05-19T10:03:39.584+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_taxi_pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T10:03:35.905098+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-19T10:03:35.905098+00:00'
[2025-05-19T10:03:39.586+0000] {nyc_taxi_pipeline.py:36} INFO - Starting data transformation...
[2025-05-19T10:03:39.994+0000] {transform.py:24} INFO - Batch 0 loaded!
[2025-05-19T10:03:40.019+0000] {transform.py:24} INFO - Batch 1 loaded!
[2025-05-19T10:03:40.023+0000] {transform.py:24} INFO - Batch 2 loaded!
[2025-05-19T10:03:40.028+0000] {transform.py:24} INFO - Batch 3 loaded!
[2025-05-19T10:03:40.032+0000] {transform.py:24} INFO - Batch 4 loaded!
[2025-05-19T10:03:40.036+0000] {transform.py:24} INFO - Batch 5 loaded!
[2025-05-19T10:03:40.039+0000] {transform.py:24} INFO - Batch 6 loaded!
[2025-05-19T10:03:40.045+0000] {transform.py:24} INFO - Batch 7 loaded!
[2025-05-19T10:03:40.052+0000] {transform.py:24} INFO - Batch 8 loaded!
[2025-05-19T10:03:40.059+0000] {transform.py:24} INFO - Batch 9 loaded!
[2025-05-19T10:03:40.064+0000] {transform.py:24} INFO - Batch 10 loaded!
[2025-05-19T10:03:40.068+0000] {transform.py:24} INFO - Batch 11 loaded!
[2025-05-19T10:03:40.072+0000] {transform.py:24} INFO - Batch 12 loaded!
[2025-05-19T10:03:40.076+0000] {transform.py:24} INFO - Batch 13 loaded!
[2025-05-19T10:03:40.083+0000] {transform.py:24} INFO - Batch 14 loaded!
[2025-05-19T10:03:40.086+0000] {transform.py:24} INFO - Batch 15 loaded!
[2025-05-19T10:03:40.089+0000] {transform.py:24} INFO - Batch 16 loaded!
[2025-05-19T10:03:40.093+0000] {transform.py:24} INFO - Batch 17 loaded!
[2025-05-19T10:03:40.099+0000] {transform.py:24} INFO - Batch 18 loaded!
[2025-05-19T10:03:40.103+0000] {transform.py:24} INFO - Batch 19 loaded!
[2025-05-19T10:03:40.107+0000] {transform.py:24} INFO - Batch 20 loaded!
[2025-05-19T10:03:40.112+0000] {transform.py:24} INFO - Batch 21 loaded!
[2025-05-19T10:03:40.117+0000] {transform.py:24} INFO - Batch 22 loaded!
[2025-05-19T10:03:40.120+0000] {transform.py:24} INFO - Batch 23 loaded!
[2025-05-19T10:03:40.123+0000] {transform.py:24} INFO - Batch 24 loaded!
[2025-05-19T10:03:40.128+0000] {transform.py:24} INFO - Batch 25 loaded!
